"ERR4507911";"ERR4507912";"ERR4507913";"ERR4507914";"ERR4507915";"ERR4507916"
2150;989;2269;2048;1061;4170
3199;1372;3472;3016;1546;6256
1202;758;1773;1090;817;4023
1233;683;1279;999;582;2321
322;183;476;234;178;769
21;12;28;6;8;46
1664;821;1879;1051;714;3026
243;142;296;297;166;561
120;43;148;145;95;308
0;0;0;0;0;2
517;313;614;542;292;1056
5461;2673;6041;4761;2928;12476
1041;578;1079;929;504;1925
768;392;742;543;415;1530
536;227;495;467;245;881
4370;1432;4848;3078;2329;9598
1326;710;1406;1049;619;2306
3174;1717;4347;2629;1671;7943
3620;1934;4078;3416;1795;6832
1591;785;1883;997;717;2650
729;407;983;921;467;1967
516;236;467;430;216;899
6664;3725;7372;5470;2944;11322
1607;702;1844;1373;836;3110
10;27;23;9;8;33
31;7;37;12;13;39
578;344;622;476;312;1149
0;0;0;0;0;0
428;300;611;380;294;1133
1371;591;1536;778;662;2468
1625;725;1466;2189;789;2773
1854;824;1909;1614;998;3611
2139;1314;2262;1684;1151;4633
1670;896;1862;1662;850;3532
3888;1578;3772;11639;2004;7385
2264;1129;2550;1728;1222;4807
156;67;145;257;112;352
24599;19372;27979;19743;13586;60677
73;27;64;79;43;153
1301;593;1450;1270;785;2973
0;0;4;2;0;3
3425;1678;3828;2915;1928;7533
5;0;4;0;0;17
